microinvest_code,name_bg,unit_raw,unit,quantity,purchase_price
05060138,БОТУШИ КЪСИ С ВАТА N40**,БР.,pcs,8.000,5.62
05060139,БОТУШИ КЪСИ С ВАТА N41**,БР.,pcs,9.000,5.62
05060188,БОТУШИ КЪСИ С ВАТА N46**,БР.,pcs,2.000,5.62
05070603,БРАВА ВЕНДА WC.70 ЖЪЛТА**,БР.,pcs,4.000,2.44
0507-572.60-3M,БРАВА ДАФ КАСОВА ЗА БЛИНД.ВР**,БР.,pcs,3.000,9.71
0507-510.40-70,БРАВА ДАФ СЕКРЕТ.70ММ-ЗЛАТО**,БР.,pcs,12.000,4.18
0507-522.40R70,БРАВА ДАФ СЕРВ.WC 70ММ-ЗЛАТО**,БР.,pcs,10.000,2.93
0507-522.35-PD,БРАВА ДАФ СЕРВ.ЗА PVC.ВР.35М**,БР.,pcs,8.000,2.75
0507-522.35-D,БРАВА ДАФ СЕРВ.ЗА АЛ.В.WC-ХР**,БР.,pcs,10.000,2.75
СН0185,БРАВА К-Т 85/35+КЛ.30/40 NI,БР.,pcs,7.000,5.61
СН0185Д,БРАВА К-Т 85/35+КЛ.30/40+ДР.,БР.,pcs,5.000,9.70
КЛ01 166ARWC,БРАВА КАЛЕ 70/40 WC ЕЗИК,бр.,pcs,24.000,2.76
0507  V221CP,БРАВА-ВЕНДА AKARSAN**,БР.,pcs,34.000,2.83
05070602,БРАВА-ВЕНДА WC.70 САТЕН**,БР.,pcs,4.000,2.44
05020576,БУРГИЯ DIAGER PRO 12мм.**,БР.,pcs,15.000,2.46
05020573,БУРГИЯ DIAGER PRO 3мм.**,БР.,pcs,19.000,0.86
05020486,БУРГИЯ DIAGER PRO 4**,БР.,pcs,25.000,1.02
05020481,БУРГИЯ DIAGER PRO 5**,БР.,pcs,12.000,1.13
05020605,БУРГИЯ DIAGER PRO 5/150мм.**,БР.,pcs,24.000,2.42
05020575,БУРГИЯ DIAGER PRO 8/150мм.**,БР.,pcs,5.000,2.42
