sku,microinvest_code,name_bg,unit,unit_raw,quantity,purchase_price,retail_price,selling_price
NOC-6CB910B3AB,,СКМ7 6/ 70-100  ДЮБЕЛ ПИРОН  6х 70/ 100/,box,КУТИЯ,0.000,0.00,0.00,1.53
NOC-8D7B6F8D3B,,СКМ7 6/ 80-100  ДЮБЕЛ ПИРОН  6х 80/ 100/12к.,box,КУТИЯ,0.000,0.00,0.00,2.02
NOC-008DE43BA4,,СКМ7К6/ 80-100  ДЮБЕЛ ПИРОН  6х 80/ 100/Ш.ЯКА,box,КУТИЯ,0.000,0.00,0.00,1.92
NOC-71EE952169,,СКМ7 8/ 60-100  ДЮБЕЛ ПИРОН  8х 60/ 100/ 8к.,box,КУТИЯ,0.000,0.00,0.00,2.71
NOC-FA7E79B701,,СКМ7 8/ 80-100  ДЮБЕЛ ПИРОН  8х 80/ 100/ 8к.,box,КУТИЯ,0.000,0.00,0.00,3.88
NOC-91FA41C441,,СКМ7 8/100-100  ДЮБЕЛ ПИРОН  8х100/ 100/ 6к.,box,КУТИЯ,0.000,0.00,0.00,4.43
NOC-CF529A1B1E,,СКМ7 8/120-100  ДЮБЕЛ ПИРОН  8х120/ 100/ 6к.,box,КУТИЯ,0.000,0.00,0.00,4.93
NOC-71C86E0D7B,,СКМ7 8/140-100  ДЮБЕЛ ПИРОН  8х140/ 100/ 6к.,box,КУТИЯ,0.000,0.00,0.00,5.96
NOC-5648EA20A1,,СКМ710/ 80- 50  ДЮБЕЛ ПИРОН 10х 80/  50/ 8к.,box,КУТИЯ,0.000,0.00,0.00,3.57
NOC-72F816B4BE,,СКМ710/100- 50  ДЮБЕЛ ПИРОН 10х100/  50/ 8к.,box,КУТИЯ,0.000,0.00,0.00,4.37
NOC-26B29E6125,,СКМ710/120- 50  ДЮБЕЛ ПИРОН 10х120/  50/ 8к.,box,КУТИЯ,0.000,0.00,0.00,5.25
NOC-4756DBEFEF,,СКМ710/140- 50  ДЮБЕЛ ПИРОН 10х140/  50/ 6к.,box,КУТИЯ,0.000,0.00,0.00,5.52
NOC-4CD2B1D385,,СКМ710/160- 50  ДЮБЕЛ ПИРОН 10х160/  50/ 6к.,box,КУТИЯ,0.000,0.00,0.00,5.85
NOC-2539140704,,СКМ710/180- 50  ДЮБЕЛ ПИРОН 10х180/  50/ 6к.,box,КУТИЯ,0.000,0.00,0.00,7.90
NOC-7571F01247,,СТ03  152       ЕКСЦЕНТРИК 152,pcs,бр.,0.000,0.00,0.00,0.72
NOC-EB30FFBDCB,,ГБЕЛСКБК        ЕЛ.СКАРА ГАБРО БЕЗ КАПАК,pcs,БР,0.000,0.00,12.78,8.95
NOC-0707396AB7,,ГБЕЛСКБК НЕРЪЖ  ЕЛ.СКАРА ГАБРО БЕЗ КАПАК НЕРЪЖ,pcs,БР,0.000,0.00,0.00,9.20
NOC-D528C8C345,,ГБЕЛСКСК        ЕЛ.СКАРА ГАБРО С КАПАК,pcs,БР,0.000,0.00,0.00,8.69
NOC-1510FD6FB5,,ГБЕЛСКСК НЕРЪЖ  ЕЛ.СКАРА ГАБРО С КАПАК НЕРЪЖДА,pcs,БР,0.000,0.00,0.00,9.97
NOC-3F1D6F1706,,СИ00  135229    К-Т ИНСТР.  38части ПРОФИ,pcs,БР.,0.000,0.00,0.00,19.26
NOC-409AE92BD3,,СИ00  135539    К-Т ИНСТР.  94части ПРОФИ,pcs,БР.,0.000,0.00,0.00,62.28
NOC-96681B8A54,,СИ00  135869    К-Т ИНСТР. 112части ПРОФИ,pcs,БР.,0.000,0.00,0.00,71.35
NOC-5CAF8B126B,,СИ00  135879    К-Т ИНСТР. 117части ПРОФИ,pcs,БР.,0.000,0.00,0.00,72.60
NOC-C062E21222,,СИ00  135829    К-Т ИНСТР. ШОФЬОРСКИ 24ч.-1/2,pcs,БР.,0.000,0.00,0.00,39.47
NOC-E7ED989679,,СИ00  135859    К-Т ИНСТР. ШОФЬОРСКИ 53ч.-1/2,pcs,БР.,0.000,0.00,0.00,38.35
NOC-3C34D9C84C,,04СИ433.021409  КЛАПА ЗА СИФОН тип сух и мокър,pcs,БР.,0.000,0.00,0.00,4.08
NOC-4869DB2E3B,,"СИ00  15611     КЛЮЧ ТРЪБЕН     1"" S-обр.челюс",pcs,БР.,0.000,0.00,0.00,6.90
NOC-C6E5FBB301,,"СИ00  15613     КЛЮЧ ТРЪБЕН 1 1/2"" S-обр.челюс",pcs,БР.,0.000,0.00,0.00,11.18
NOC-A774283546,,"ПФ02К  12       КОЛЯНО   1/2"" ПОЦ.",pcs,бр.,0.000,0.00,0.00,0.32
